channel-uf,channel-city,channel-network,channel-name,channel-codec,channel-resolution,tvg-id,tvg-name,url-tvg,tvg-language,tvg-country,tvg-logo,group-title,shift,audio-track,aspect-ratio,subtitles,background,url
AM,Manaus,Boas Novas,Boas Novas Manaus,h264,1080,REDE.BOAS.NOVAS.-.NET.MANAUS.br,Boas Novas Manaus,https://github.com/epgshare01/share01/blob/master/epg_ripper_BR1.xml.gz?raw=true,Portuguese,BR,https://upload.wikimedia.org/wikipedia/pt/thumb/3/39/Rede_Boas_Novas.png/200px-Rede_Boas_Novas.png,Religioso,-3,por,16:9,por,#000000,https://cdn.jmvstream.com/w/LVW-9375/LVW9375_6i0wPBCHYc/playlist.m3u8
AM,Manaus,CNT,CNT Manaus,h264,720,CNT.REDE.br,CNT Manaus,https://github.com/epgshare01/share01/blob/master/epg_ripper_BR1.xml.gz?raw=true,Portuguese,BR,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/CNT_logo.svg/750px-CNT_logo.svg.png,Geral,-3,por,16:9,por,#000000,https://d1s664t39qub1o.cloudfront.net/live/cnt-manaus.m3u8
AM,Manaus,RecordTV,RecordTV Manaus,h264,1080,,RecordTV Manaus,,Portuguese,BR,https://upload.wikimedia.org/wikipedia/pt/0/0b/Logotipo_da_RecordTV_Manaus.png,Geral,-3,por,16:9,por,#000000,https://playplusmao-lh.akamaihd.net/i/pp_mao@409195/master.m3u8
BA,Salvador,CNT,CNT Bahia,h264,1080,CNTBahia.br(m3u4u),CNT Bahia,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/CNT_logo.svg/750px-CNT_logo.svg.png,Geral,-3,por,16:9,por,#000000,https://dd8umsy8yf96u.cloudfront.net/live/cnt-salvador.m3u8
BA ,Salvador ,RecordTV,RecordTV Itapoan,h264,1080,RecordTVItapoan.br(m3u4u),RecordTV Itapoan,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,https://upload.wikimedia.org/wikipedia/pt/1/13/Logotipo_da_RecordTV_Itapoan.png,Geral,-3,por,16:9,por,#000000,https://playplussdr-lh.akamaihd.net/i/pp_sdr@377858/master.m3u8
BA ,Salvador ,Rede Legislativa,TV ALBA,h264,1080,,TV ALBA,,Portuguese,BR,,Legislativo,-3,por,16:9,por,#000000,https://digilab.cds.ebtcvd.net/live-tvalba/stream/playlist.m3u8
BA ,Salvador ,TV Brasil/Futura,TVE Bahia,h264,1080,TVEBahia.br(m3u4u),TVE Bahia,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Educativo,-3,por,16:9,por,#000000,http://stream2.ba.gov.br/hls-live/livepkgr/_definst_/irdeb/pgm-1.m3u8
BA ,Salvador ,TV Cultura,TV Baiana,h264,1080,,TV Baiana,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://videodj.fm5.com.br:19360/tvbaiana/tvbaiana.m3u8
BA ,Salvador ,TV Universal,TV Ouro Negro,h264,1080,,TV Ouro Negro,,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://stmv1.srvstm.com/diegodemenezes3156/diegodemenezes3156/playlist.m3u8
CE,Caucaia,TV Escola,TV Metrópole,h264,720,,TV Metrópole,,Portuguese,BR,https://upload.wikimedia.org/wikipedia/pt/9/92/Logotipo_da_TV_Metr%C3%B3pole.png,Educativo,-3,por,16:9,por,#000000,https://cdn-fundacao-2110.ciclano.io:1443/fundacao-2110/fundacao-2110/playlist.m3u8
